data,values,cod,abbreviation,kurs_rub
1969-02-01,Bolg lion,975,BGN,0.7692
1969-03-01,Bolg lion,975,BGN,0.7692
1969-04-01,Bolg lion,975,BGN,0.7692
1969-05-01,Bolg lion,975,BGN,0.7692
1969-06-01,Bolg lion,975,BGN,0.7692
1969-07-01,Bolg lion,975,BGN,0.7692
1969-08-01,Bolg lion,975,BGN,0.7692
1969-09-01,Bolg lion,975,BGN,0.7692
1969-10-01,Bolg lion,975,BGN,0.7692
1969-11-01,Bolg lion,975,BGN,0.7692
1969-12-01,Bolg lion,975,BGN,0.7692
1970-01-01,Bolg lion,975,BGN,0.7692
1970-02-01,Bolg lion,975,BGN,0.7692
1970-03-01,Bolg lion,975,BGN,0.7692
1970-04-01,Bolg lion,975,BGN,0.7692
1970-05-01,Bolg lion,975,BGN,0.7692
1970-06-01,Bolg lion,975,BGN,0.7692
1970-07-01,Bolg lion,975,BGN,0.7692
1970-08-01,Bolg lion,975,BGN,0.7692
1970-09-01,Bolg lion,975,BGN,0.7692
1970-10-01,Bolg lion,975,BGN,0.7692
1970-11-01,Bolg lion,975,BGN,0.7692
1970-12-01,Bolg lion,975,BGN,0.7692
1971-01-01,Bolg lion,975,BGN,0.7692
1971-02-01,Bolg lion,975,BGN,0.7692
1971-03-01,Bolg lion,975,BGN,0.7692
1971-04-01,Bolg lion,975,BGN,0.7692
1971-05-01,Bolg lion,975,BGN,0.7692
1971-06-01,Bolg lion,975,BGN,0.7692
1971-07-01,Bolg lion,975,BGN,0.7692
1971-08-01,Bolg lion,975,BGN,0.7692
1971-09-01,Bolg lion,975,BGN,0.7692
1971-10-01,Bolg lion,975,BGN,0.7692
1971-11-01,Bolg lion,975,BGN,0.7692
1971-12-01,Bolg lion,975,BGN,0.7692
1972-01-01,Bolg lion,975,BGN,0.7692
1972-02-01,Bolg lion,975,BGN,0.7692
1972-03-01,Bolg lion,975,BGN,0.7692
1972-04-01,Bolg lion,975,BGN,0.7692
1972-05-01,Bolg lion,975,BGN,0.7692
1972-06-01,Bolg lion,975,BGN,0.7692
1972-07-01,Bolg lion,975,BGN,0.7692
1972-08-01,Bolg lion,975,BGN,0.7692
1972-09-01,Bolg lion,975,BGN,0.7692
1972-10-01,Bolg lion,975,BGN,0.7692
1972-11-01,Bolg lion,975,BGN,0.7692
1972-12-01,Bolg lion,975,BGN,0.7692
1973-01-01,Bolg lion,975,BGN,0.7692
1973-02-01,Bolg lion,975,BGN,0.7692
1973-03-01,Bolg lion,975,BGN,0.7692
1973-04-01,Bolg lion,975,BGN,0.7692
1973-05-01,Bolg lion,975,BGN,0.7692
1973-06-01,Bolg lion,975,BGN,0.7692
1973-07-01,Bolg lion,975,BGN,0.7692
1973-08-01,Bolg lion,975,BGN,0.7692
1973-09-01,Bolg lion,975,BGN,0.7692
1973-10-01,Bolg lion,975,BGN,0.7692
1973-11-01,Bolg lion,975,BGN,0.7692
1973-12-01,Bolg lion,975,BGN,0.7692
1974-01-01,Bolg lion,975,BGN,0.7692
1974-02-01,Bolg lion,975,BGN,0.7692
1974-03-01,Bolg lion,975,BGN,0.7692
1974-04-01,Bolg lion,975,BGN,0.7692
1974-05-01,Bolg lion,975,BGN,0.7692
1974-06-01,Bolg lion,975,BGN,0.7692
1974-07-01,Bolg lion,975,BGN,0.7692
1974-08-01,Bolg lion,975,BGN,0.7692
1974-09-01,Bolg lion,975,BGN,0.7692
1974-10-01,Bolg lion,975,BGN,0.7692
1974-11-01,Bolg lion,975,BGN,0.7692
1974-12-01,Bolg lion,975,BGN,0.7692
1975-01-01,Bolg lion,975,BGN,0.7692
1975-02-01,Bolg lion,975,BGN,0.7692
